image,mode,blur_mode,K,score
image2.jpg,rgb_xy,no_blur,2,0.3363160789012909
image2.jpg,rgb_xy,no_blur,3,0.361863374710083
image2.jpg,rgb_xy,no_blur,4,0.3868010342121124
image2.jpg,rgb_xy,no_blur,5,0.39041754603385925
image2.jpg,rgb_xy,blur_all,2,0.3372249901294708
image2.jpg,rgb_xy,blur_all,3,0.36268794536590576
image2.jpg,rgb_xy,blur_all,4,0.388210654258728
image2.jpg,rgb_xy,blur_all,5,0.38932928442955017
image9.jpg,rgb,no_blur,2,0.580889105796814
image9.jpg,rgb,no_blur,3,0.48953017592430115
image9.jpg,rgb,no_blur,4,0.43789440393447876
image9.jpg,rgb,no_blur,5,0.4608871340751648
image9.jpg,rgb,blur_all,2,0.559601902961731
image9.jpg,rgb,blur_all,3,0.4731929898262024
image9.jpg,rgb,blur_all,4,0.4510340690612793
image9.jpg,rgb,blur_all,5,0.44582992792129517
image9.jpg,hsv,no_blur,2,0.5141940712928772
image9.jpg,hsv,no_blur,3,0.4728155732154846
image9.jpg,hsv,no_blur,4,0.43327397108078003
image9.jpg,hsv,no_blur,5,0.44540470838546753
image9.jpg,hsv,blur_all,2,0.5102602243423462
image9.jpg,hsv,blur_all,3,0.4982931315898895
image9.jpg,hsv,blur_all,4,0.4655649960041046
image9.jpg,hsv,blur_all,5,0.4567018151283264
image9.jpg,rgb_xy,no_blur,2,0.31741398572921753
image9.jpg,rgb_xy,no_blur,3,0.33291828632354736
image9.jpg,rgb_xy,no_blur,4,0.3537030816078186
image9.jpg,rgb_xy,no_blur,5,0.35734063386917114
image9.jpg,rgb_xy,blur_all,2,0.32456040382385254
image9.jpg,rgb_xy,blur_all,3,0.342415452003479
image9.jpg,rgb_xy,blur_all,4,0.3664504885673523
image9.jpg,rgb_xy,blur_all,5,0.3720279335975647
image6.jpg,rgb,no_blur,2,0.7646865844726562
image6.jpg,rgb,no_blur,3,0.6726701259613037
image6.jpg,rgb,no_blur,4,0.6199347376823425
image6.jpg,rgb,no_blur,5,0.5834959745407104
image6.jpg,rgb,blur_all,2,0.7252311110496521
image6.jpg,rgb,blur_all,3,0.6452983617782593
image6.jpg,rgb,blur_all,4,0.5924733877182007
image6.jpg,rgb,blur_all,5,0.5556035041809082
image6.jpg,hsv,no_blur,2,0.6283565759658813
image6.jpg,hsv,no_blur,3,0.6412407755851746
image6.jpg,hsv,no_blur,4,0.5949157476425171
image6.jpg,hsv,no_blur,5,0.5885084867477417
image6.jpg,hsv,blur_all,2,0.5822896361351013
image6.jpg,hsv,blur_all,3,0.5996783971786499
image6.jpg,hsv,blur_all,4,0.5605121850967407
image6.jpg,hsv,blur_all,5,0.5107337832450867
image6.jpg,rgb_xy,no_blur,2,0.3041984438896179
image6.jpg,rgb_xy,no_blur,3,0.3195156455039978
image6.jpg,rgb_xy,no_blur,4,0.32371869683265686
image6.jpg,rgb_xy,no_blur,5,0.36382871866226196
image6.jpg,rgb_xy,blur_all,2,0.31064626574516296
image6.jpg,rgb_xy,blur_all,3,0.32653677463531494
image6.jpg,rgb_xy,blur_all,4,0.33262544870376587
image6.jpg,rgb_xy,blur_all,5,0.36408400535583496
image3.jpg,rgb,no_blur,2,0.5785189867019653
image3.jpg,rgb,no_blur,3,0.5731966495513916
image3.jpg,rgb,no_blur,4,0.5733857154846191
image3.jpg,rgb,no_blur,5,0.5747373104095459
image3.jpg,rgb,blur_all,2,0.5887425541877747
image3.jpg,rgb,blur_all,3,0.5838938355445862
image3.jpg,rgb,blur_all,4,0.5835885405540466
image3.jpg,rgb,blur_all,5,0.5799104571342468
image3.jpg,hsv,no_blur,2,0.4748406410217285
image3.jpg,hsv,no_blur,3,0.49653875827789307
image3.jpg,hsv,no_blur,4,0.5303875207901001
image3.jpg,hsv,no_blur,5,0.471319317817688
image3.jpg,hsv,blur_all,2,0.49601900577545166
image3.jpg,hsv,blur_all,3,0.5331780910491943
image3.jpg,hsv,blur_all,4,0.5103650093078613
image3.jpg,hsv,blur_all,5,0.4751351475715637
image3.jpg,rgb_xy,no_blur,2,0.3421151638031006
image3.jpg,rgb_xy,no_blur,3,0.37125319242477417
image3.jpg,rgb_xy,no_blur,4,0.38859885931015015
image3.jpg,rgb_xy,no_blur,5,0.3552103638648987
image3.jpg,rgb_xy,blur_all,2,0.34443342685699463
image3.jpg,rgb_xy,blur_all,3,0.3743082880973816
image3.jpg,rgb_xy,blur_all,4,0.3923369348049164
image3.jpg,rgb_xy,blur_all,5,0.35985565185546875
image8.jpg,rgb,no_blur,2,0.5656070709228516
image8.jpg,rgb,no_blur,3,0.5586265325546265
image8.jpg,rgb,no_blur,4,0.5196207761764526
image8.jpg,rgb,no_blur,5,0.48387593030929565
image8.jpg,rgb,blur_all,2,0.5220316052436829
image8.jpg,rgb,blur_all,3,0.5527678728103638
image8.jpg,rgb,blur_all,4,0.5368704795837402
image8.jpg,rgb,blur_all,5,0.5429574847221375
image8.jpg,hsv,no_blur,2,0.4641633927822113
image8.jpg,hsv,no_blur,3,0.4971986413002014
image8.jpg,hsv,no_blur,4,0.48494765162467957
image8.jpg,hsv,no_blur,5,0.5066494941711426
image8.jpg,hsv,blur_all,2,0.5222837924957275
image8.jpg,hsv,blur_all,3,0.4840283691883087
image8.jpg,hsv,blur_all,4,0.5109606385231018
image8.jpg,hsv,blur_all,5,0.488785982131958
image8.jpg,rgb_xy,no_blur,2,0.3238189220428467
image8.jpg,rgb_xy,no_blur,3,0.33913010358810425
image8.jpg,rgb_xy,no_blur,4,0.35437673330307007
image8.jpg,rgb_xy,no_blur,5,0.33504295349121094
image8.jpg,rgb_xy,blur_all,2,0.33535850048065186
image8.jpg,rgb_xy,blur_all,3,0.3527812063694
image8.jpg,rgb_xy,blur_all,4,0.3734666705131531
image8.jpg,rgb_xy,blur_all,5,0.35505685210227966
image12.png,rgb,no_blur,2,0.6469483971595764
image12.png,rgb,no_blur,3,0.5518711805343628
image12.png,rgb,no_blur,4,0.5381050705909729
image12.png,rgb,no_blur,5,0.5215150117874146
image12.png,rgb,blur_all,2,0.6320513486862183
image12.png,rgb,blur_all,3,0.5480665564537048
image12.png,rgb,blur_all,4,0.532280683517456
image12.png,rgb,blur_all,5,0.509829044342041
image12.png,hsv,no_blur,2,0.4260229468345642
image12.png,hsv,no_blur,3,0.5041276216506958
image12.png,hsv,no_blur,4,0.562824547290802
image12.png,hsv,no_blur,5,0.5256817936897278
image12.png,hsv,blur_all,2,0.4135521352291107
image12.png,hsv,blur_all,3,0.4972550570964813
image12.png,hsv,blur_all,4,0.5647810697555542
image12.png,hsv,blur_all,5,0.5345666408538818
image12.png,rgb_xy,no_blur,2,0.3241894543170929
image12.png,rgb_xy,no_blur,3,0.34583666920661926
image12.png,rgb_xy,no_blur,4,0.36258041858673096
image12.png,rgb_xy,no_blur,5,0.3820688724517822
image12.png,rgb_xy,blur_all,2,0.3263782262802124
image12.png,rgb_xy,blur_all,3,0.3484625816345215
image12.png,rgb_xy,blur_all,4,0.36550819873809814
image12.png,rgb_xy,blur_all,5,0.38386404514312744
image7.jpg,rgb,no_blur,2,0.6990024447441101
image7.jpg,rgb,no_blur,3,0.6470027565956116
image7.jpg,rgb,no_blur,4,0.6500119566917419
image7.jpg,rgb,no_blur,5,0.6653872132301331
image7.jpg,rgb,blur_all,2,0.6890732049942017
image7.jpg,rgb,blur_all,3,0.6538653373718262
image7.jpg,rgb,blur_all,4,0.641394853591919
image7.jpg,rgb,blur_all,5,0.6578748226165771
image7.jpg,hsv,no_blur,2,0.49915727972984314
image7.jpg,hsv,no_blur,3,0.6104191541671753
image7.jpg,hsv,no_blur,4,0.6114691495895386
image7.jpg,hsv,no_blur,5,0.6208206415176392
